"position","const","created","modified","description","Title","Title type","Directors","RDLongoria rated","IMDb Rating","Runtime (mins)","Year","Genres","Num. Votes","Release Date (month/day/year)","URL"
"101","tt0979263","Tue Mar 12 08:25:42 2013","Tue Mar 12 08:25:42 2013","","The Trap: What Happened to Our Dream of Freedom","Mini-Series","Adam Curtis","9","8.8","180","2007","documentary","1133","2007-03-11","http://www.imdb.com/title/tt0979263/"
"102","tt0118158","Tue Mar 12 08:25:42 2013","Tue Mar 12 08:25:42 2013","","White Squall","Feature Film","Ridley Scott","8","6.6","129","1996","adventure, drama","17747","1996-02-02","http://www.imdb.com/title/tt0118158/"
"103","tt0296310","Tue Mar 12 08:25:42 2013","Tue Mar 12 08:25:42 2013","","The Blue Planet","Mini-Series","Alastair Fothergill","8","9.1","50","2001","documentary","12216","2001-09-12","http://www.imdb.com/title/tt0296310/"
"104","tt0392433","Tue Mar 12 08:25:42 2013","Tue Mar 12 08:25:42 2013","","Medici: Godfathers of the Renaissance","TV Series","","7","8.2","220","2004","documentary, biography, history","290","2004-02-04","http://www.imdb.com/title/tt0392433/"
"105","tt1561406","Tue Mar 12 08:25:42 2013","Tue Mar 12 08:25:42 2013","","Chosin","Documentary","Brian Iglesias","8","8.4","86","2010","documentary, history, war","187","2010-09-10","http://www.imdb.com/title/tt1561406/"
"106","tt0925248","Tue Mar 12 08:25:42 2013","Tue Mar 12 08:25:42 2013","","In the Shadow of the Moon","Documentary","David Sington","7","8.1","100","2007","documentary, history","5422","2007-01-19","http://www.imdb.com/title/tt0925248/"
"107","tt1641653","Tue Mar 12 08:25:42 2013","Tue Mar 12 08:25:42 2013","","America: The Story of Us","TV Series","","7","7.3","","2010","documentary, history","1039","2010-04-25","http://www.imdb.com/title/tt1641653/"
"108","tt1574503","Tue Mar 12 08:25:42 2013","Tue Mar 12 08:25:42 2013","","Commanders at War","TV Series","Robert Hartel, Leesa Rumley","7","7.3","","2009","documentary, history, war","78","2009-01-11","http://www.imdb.com/title/tt1574503/"
"109","tt0765128","Tue Mar 12 08:25:42 2013","Tue Mar 12 08:25:42 2013","","Oceans","Documentary","Jacques Perrin, Jacques Cluzaud","7","7.8","104","2009","documentary, drama","7567","2009-10-17","http://www.imdb.com/title/tt0765128/"
"110","tt0227005","Tue Mar 12 08:25:42 2013","Tue Mar 12 08:25:42 2013","","Made","Feature Film","Jon Favreau","7","6.4","95","2001","comedy, crime, drama, thriller","14982","2001-07-13","http://www.imdb.com/title/tt0227005/"
"111","tt0149624","Tue Mar 12 08:25:42 2013","Tue Mar 12 08:25:42 2013","","All the Pretty Horses","Feature Film","Billy Bob Thornton","7","5.8","116","2000","drama, romance, western","11286","2000-12-25","http://www.imdb.com/title/tt0149624/"
"112","tt0096626","Tue Mar 12 08:25:42 2013","Tue Mar 12 08:25:42 2013","","The Kids in the Hall","TV Series","John Fortenberry, Kevin McDonald","9","8.4","25","1988","comedy","6560","1988-10-16","http://www.imdb.com/title/tt0096626/"
"113","tt0043194","Tue Mar 12 08:25:42 2013","Tue Mar 12 08:25:42 2013","","Dragnet","TV Series","","8","7.6","30","1951","drama, crime, mystery","1183","1951-12-16","http://www.imdb.com/title/tt0043194/"
"114","tt0071042","Tue Mar 12 08:25:42 2013","Tue Mar 12 08:25:42 2013","","The Rockford Files","TV Series","","8","8.2","60","1974","crime, drama, mystery, thriller","4691","1974-03-27","http://www.imdb.com/title/tt0071042/"
"115","tt0496191","Tue Mar 12 08:25:42 2013","Tue Mar 12 08:25:42 2013","","The Revolution","TV Series","Peter Schnall","8","8.6","","2006","history, war","215","2006","http://www.imdb.com/title/tt0496191/"
"116","tt1806688","Tue Mar 12 08:25:42 2013","Tue Mar 12 08:25:42 2013","","The Pyramid Code","TV Series","","8","6.9","45","2009","documentary","313","2009-01-01","http://www.imdb.com/title/tt1806688/"
